ID;Ring;Species;Sex;Mass;Wing;Tarsus;Age;Age_standardised;Leukocyte_count;Lymphocytes_percent;Monocytes_percent;Heterophiles_percent;H_L_ratio;Basophiles_percent;Eosinophiles_percent;Leukocytozoon;Infection_intensity;AP;AST;gGT;CHE;GLDH;BA;LDH;CK;ALB;TP;Ca;P
19-213;3419213;Milvus milvus;Male;980;22,5;60,8;2,72E+01;5,73E-01;16400;26;6;39;1,5;0;29;0;0;430;277;5;0,99;2;49,8;796;1379;14,3;41;2,46;NA
19-214;3419214;Milvus milvus;Female;1010;20,6;64,6;2,57E+01;5,42E-01;10800;24;6;37;1,541666667;0;33;0;0;275;311;5;1,5;2;15,6;655;1325;10,7;36;NA;NA
19-216;3419216;Milvus milvus;Female;1010;36,6;62,9;4,15E+01;8,75E-01;10400;25;4;37;1,48;0;34;0;0;525;348;5;1,5;2;17,4;595;1530;11,2;35;NA;NA
19-215;3419215;Milvus milvus;Male;900;38,4;62,4;4,31E+01;9,08E-01;11200;25;6;37;1,48;0;32;0;0;335;328;12;1,3;2;36,95;495;870;7,9;33;NA;NA
19-218;3419218;Milvus milvus;Female;990;31,7;65,6;3,64E+01;7,66E-01;20000;32;3;49;1,53125;0;16;0;0;467;368;5;1,09;2;23,75;1370;2280;16,1;43;2,29;NA
19-220;3419220;Milvus milvus;Male;1020;24,2;64,4;2,87E+01;6,04E-01;19600;10;6;30;3;1;53;0;0;373;278;9;1,15;2;70,05;505;1690;15,1;35;2,54;NA
19-221;3419221;Milvus milvus;Female;960;20,9;61,9;2,60E+01;5,46E-01;20400;34;7;38;1,117647059;0;21;0;0;325;278;10;1,25;2;44,85;565;1770;7,7;29;NA;NA
19-223;3419223;Milvus milvus;Female;930;25,4;64,3;2,98E+01;6,27E-01;19600;30;5;34;1,133333333;0;31;0;0;511;402;5;1,6;2;24,05;1275;2275;13,5;38;2,48;NA
19-255;3419255;Milvus milvus;Male;840;20,3;64,1;2,55E+01;5,37E-01;14000;31;8;39;1,258064516;0;22;0;0;360;259;8;1,45;2;23,55;380;1575;9,5;35;NA;NA
19-257;3419257;Milvus milvus;Male;700;14,9;58,9;2,16E+01;4,55E-01;16000;17;6;58;3,411764706;0;19;0;0;325;301;5;1,8;2;52,65;735;2290;13;45;NA;NA
19-258;3419258;Milvus milvus;Male;980;35,3;64,1;4,03E+01;8,48E-01;27000;23;6;30;1,304347826;0;41;0;0;375;370;11;1,55;2;66,45;345;1385;7,5;34;NA;NA
19-259;3419259;Milvus milvus;Female;1020;36,8;65,9;4,17E+01;8,79E-01;23600;18;4;37;2,055555556;0;41;0;0;510;364;8;1,35;2;26,35;575;1745;8;34;2,43;1,83
19-263;3419263;Milvus milvus;Female;1040;35;63,4;4,00E+01;8,41E-01;10800;20;7;43;2,15;0;30;0;0;305;553;5;1,45;2;15,7;1210;1065;11,4;43;NA;NA
19-264;3419264;Milvus milvus;Male;850;37;64;4,19E+01;8,83E-01;14000;25;8;41;1,64;0;26;0;0;361;558;5;1,16;10,5;15,4;1804;1987;15,8;38;2,22;2,77
19-249;3419249;Milvus milvus;Male;840;29;63,4;3,34E+01;7,04E-01;21000;11;8;50;4,545454545;1;30;400;1;360;353;7;1,8;2;33,85;440;1360;9,1;36;2,42;2,02
19-253;3419253;Milvus milvus;Female;1035;33,5;64,3;3,84E+01;8,08E-01;28000;39;2;29;0,743589744;0;30;200;1;370;313;12;1,35;2;26,5;530;1495;9,8;38;NA;NA
19-260;3419260;Milvus milvus;Male;780;19,4;60,2;2,48E+01;5,23E-01;12400;18;4;49;2,722222222;0;29;200;1;299;243;9;1,11;2;60,05;429;598;9,3;27;2,41;2,01
19-827;3418827;Milvus milvus;Male;1000;31,8;67,2;3,65E+01;7,68E-01;13000;40;2;31;0,775;0;27;400;1;310;350;5;1,2;2;54,85;1205;340;17;48;NA;NA
19-269;3419269;Milvus milvus;Male;840;20,6;62,2;2,57E+01;5,42E-01;22400;28;3;42;1,5;1;26;7400;2;274;432;17;1,22;2;28,35;730;1668;11,9;43;2,52;NA
19-270;3419270;Milvus milvus;Female;895;19,9;63;2,52E+01;5,31E-01;23600;36;6;36;1;0;22;8000;2;275;415;17;1,25;2;61,5;740;2030;13,7;34;2,62;1,94
19-271;3419271;Milvus milvus;Female;495;10,7;53,1;1,81E+01;3,81E-01;18800;20;5;62;3,1;0;13;19800;3;272;789;5;1,77;2;15,1;913;1147;10,5;37;2,5;1,63
19-232;3419232;Milvus milvus;Male;740;18,6;59,1;2,43E+01;5,11E-01;24800;13;5;62;4,769230769;0;20;5400;2;322;682;5;1,95;2;61,3;890;1160;10,4;37;2,49;NA
19-209;3419209;Milvus milvus;Female;1100;32,6;66,8;3,74E+01;7,87E-01;18000;18;2;34;1,888888889;0;46;1200;2;425;309;6;1,4;2;76,15;915;2725;10;35;NA;NA
